title,overview,release_date,runtime,genres,production_companies,popularity,vote_average,vote_count,budget,revenue,poster_path,spoken_languages,trailer,watch_providers,homepage,tagline,belongs_to_collection,adult,imdb_id,production_countries,original_language,original_title,status
In the Lost Lands,"A queen sends the powerful and feared sorceress Gray Alys to the ghostly wilderness of the Lost Lands in search of a magical power, where the sorceress and her guide, the drifter Boyce must outwit and outfight man and demon.",2025-02-27,102,"Fantasy, Adventure, Action","Constantin Film, Spark Productions",727.9871,6.374,178,55000000,4755330,/iHf6bXPghWB6gT8kFkL1zo00x6X.jpg,"Deutsch, English",https://www.youtube.com/watch?v=s8KXoZR9f2w,"AU, NZ, US",https://inthelostlands.com,She seeks the power to free her people.,,False,tt4419684,"Germany, Switzerland",en,In the Lost Lands,Released
A Minecraft Movie,"Four misfits find themselves struggling with ordinary problems when they are suddenly pulled through a mysterious portal into the Overworld: a bizarre, cubic wonderland that thrives on imagination. To get back home, they'll have to master this world while embarking on a magical quest with an unexpected, expert crafter, Steve.",2025-03-31,101,"Family, Comedy, Adventure, Fantasy","Warner Bros. Pictures, Legendary Pictures, Mojang Studios, Vertigo Entertainment, On the Roam, Domain Entertainment",673.4901,6.1,555,150000000,552664857,/yFHHfHcUgGAxziP1C3lLt0q2T4s.jpg,English,https://www.youtube.com/watch?v=LxGu15rQpXA,,https://www.minecraft-movie.com,Be there and be square.,The Minecraft Movie Collection,False,tt3566834,"Sweden, United States of America",en,A Minecraft Movie,Released
G20,"After the G20 Summit is overtaken by terrorists, President Danielle Sutton must bring all her statecraft and military experience to defend her family and her fellow leaders.",2025-04-09,110,"Action, Mystery, Drama","JuVee Productions, Mad Chance, MRC, Amazon MGM Studios",639.4622,6.537,217,0,0,/tSee9gbGLfqwvjoWoCQgRZ4Sfky.jpg,English,https://www.youtube.com/watch?v=vqZjB0wpI1M,"AD, AE, AG, AL, AR, AT, AU, BA, BB, BE, BG, BH, BM, BO, BR, BS, CA, CH, CI, CL, CO, CR, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GF, GG, GH, GI, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, MK, MT, MX, MY, MZ, NE, NG, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SE, SG, SI, SK, SM, SV, TC, TH, TN, TR, TT, TW, UG, US, UY, VA, VE, YE, ZA, ZM",https://www.amazon.com/dp/B0DV3V4HH6,Never underestimate a patriot,,False,tt23476986,United States of America,en,G20,Released
Novocaine,"When the girl of his dreams is kidnapped, everyman Nate turns his inability to feel pain into an unexpected strength in his fight to get her back.",2025-03-12,110,"Action, Comedy, Thriller","Circle of Confusion, Safehouse Pictures, Paramount Pictures, Infrared Pictures, Domain Entertainment, FilmNation Entertainment, Mediaflix",488.1797,6.861,427,18000000,33561854,/xmMHGz9dVRaMY6rRAlEX4W0Wdhm.jpg,English,https://www.youtube.com/watch?v=rdzk8L_LMg4,"CA, KR, US",https://www.novocainemovie.com,Nathan Caine can't feel pain.,,False,tt29603959,United States of America,en,Novocaine,Released
Gunslingers,"When the most wanted man in America surfaces in a small Kentucky town, his violent history -- and a blood-thirsty mob seeking vengeance and a king’s ransom -- soon follow. As brothers face off against one another and bullets tear the town to shreds, this lightning-fast gunslinger makes his enemies pay the ultimate price for their greed.",2025-04-11,104,"Western, Action","5150 Action, Skibavision, ZTA Entertainment, ZTA & I Films, Milestone Studios, Ambitious Entertainment, Brilliant Pictures, Thats Hollywood, Aarimax Films Production, Grindstone Entertainment Group",448.398,6.765,17,0,0,/O7REXWPANWXvX2jhQydHjAq2DV.jpg,English,https://www.youtube.com/watch?v=G4hVWe4GOrk,"CA, US",,,,False,tt24850708,"United States of America, United Kingdom",en,Gunslingers,Released
Captain America: Brave New World,"After meeting with newly elected U.S. President Thaddeus Ross, Sam finds himself in the middle of an international incident. He must discover the reason behind a nefarious global plot before the true mastermind has the entire world seeing red.",2025-02-12,119,"Action, Thriller, Science Fiction","Marvel Studios, Kevin Feige Productions",357.1556,6.131,1391,180000000,411409721,/pzIddUEMWhWzfvLI3TwxUG2wGoi.jpg,"English, 日本語, Español",https://www.youtube.com/watch?v=Am5wfOvi0gw,"AT, AU, BE, BG, CA, CH, CV, CZ, DE, DK, EE, EG, ES, FI, GB, GH, GR, HK, HU, IE, IL, IS, IT, JP, LT, LU, LV, MZ, NL, NO, NZ, PL, PT, RO, SE, SI, SK, UA, US, ZA",https://www.marvel.com/movies/captain-america-brave-new-world,The future favors the brave.,Captain America Collection,False,tt14513804,United States of America,en,Captain America: Brave New World,Released
A Working Man,"Levon Cade left behind a decorated military career in the black ops to live a simple life working construction. But when his boss's daughter, who is like family to him, is taken by human traffickers, his search to bring her home uncovers a world of corruption far greater than he ever could have imagined.",2025-03-26,116,"Action, Crime, Thriller","Cedar Park Entertainment, BlockFilm, Punch Palace Productions, Balboa Productions, Black Bear Pictures, Fifth Season, CAT5",646.3416,6.4,241,40000000,44417000,/6FRFIogh3zFnVWn7Z6zcYnIbRcX.jpg,"English, Pусский, Español",https://www.youtube.com/watch?v=hyEVX-4uK_4,US,https://www.amazon.com/salp/aworkingman?hhf,Human traffickers beware.,,False,tt9150192,"United Kingdom, United States of America",en,A Working Man,Released
Cleaner,"When a group of radical activists take over an energy company's annual gala, seizing 300 hostages, an ex-soldier turned window cleaner suspended 50 storeys up on the outside of the building must save those trapped inside, including her younger brother.",2025-02-19,96,"Action, Thriller","Anton, Qwerty Films",193.8037,6.531,207,0,0,/mwzDApMZAGeYCEVjhegKvCzDX0W.jpg,English,https://www.youtube.com/watch?v=c8sf0c-cjzQ,"CA, US",,The stakes are a thousand feet high.,,False,tt27812086,United Kingdom,en,Cleaner,Released
Carjackers,"By day, they're invisible—valets, hostesses, and bartenders at a luxury hotel. By night, they're the Carjackers, a crew of skilled drivers who track and rob wealthy clients on the road. As they plan their ultimate heist, the hotel director hires a ruthless hitman, to stop them at all costs. With danger closing in, can Nora, Zoe, Steve, and Prestance pull off their biggest score yet?",2025-03-27,97,"Action, Adventure",Gaumont,169.7769,6.24,127,0,0,/wbkPMTz2vVai7Ujyp0ag7AM9SrO.jpg,Français,https://www.youtube.com/watch?v=slSwwaZ0KoM,"AD, AE, AG, AL, AR, AT, AU, BA, BB, BE, BG, BH, BM, BO, BR, BS, CA, CH, CI, CL, CO, CR, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GF, GG, GH, GI, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, MK, MT, MX, MY, MZ, NE, NG, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SE, SG, SI, SK, SM, SV, TC, TH, TN, TR, TT, TW, UG, US, UY, VA, VE, YE, ZA, ZM",https://www.amazon.com/gp/video/detail/B0DCYJL1GN,,,False,tt35683795,France,fr,Carjackers,Released
Deva,"Dev Ambre, a ruthless cop, loses his memory in an accident just after he has finished solving a murder case and now has to reinvestigate it while keeping his memory loss a secret from everyone except DCP Farhan Khan.",2025-01-31,155,"Action, Thriller, Mystery, Crime","Zee Studios, Roy Kapur Films",160.4337,6.036,42,9895000,0,/qxtXzAlEPxmjHILU8k8wduvBSdo.jpg,हिन्दी,https://www.youtube.com/watch?v=DBCy-fo9eSQ,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, GB, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TD, TH, TN, TR, TT, TW, TZ, UA, UG, US, UY, VE, YE, ZA, ZM, ZW",,,,False,tt27852049,India,hi,देवा,Released
